time,do,temperature,pressure
0.0,1.0,29.64,1026.0
1750.0,0.94,26.74,1027.96
3000.0,0.91,26.19,1028.05
4750.0,0.89,25.9,1027.82
6000.0,0.87,25.86,1027.82
7250.0,0.84,25.87,1027.86
9000.0,0.81,25.91,1027.85
10250.0,0.78,25.94,1027.83
11500.0,0.78,25.95,1027.91
12750.0,0.73,25.95,1027.87
14000.0,0.71,25.95,1027.9
15250.0,0.72,25.95,1027.87
16750.0,0.71,25.94,1027.87
18000.0,0.71,25.94,1027.89
19250.0,0.7,25.93,1027.88
20500.0,0.68,25.92,1027.94
22500.0,0.69,25.89,1028.01
23750.0,0.7,25.88,1027.86
25250.0,0.68,25.85,1027.92
26500.0,0.66,25.83,1027.89
27750.0,0.66,25.81,1027.85
29000.0,0.62,25.79,1027.9
30250.0,0.62,25.77,1027.94
31500.0,0.65,25.75,1027.94
32750.0,0.62,25.72,1027.57
34000.0,0.64,25.71,1027.08
