time,do,temperature,pressure
0.0,0.92,21.57,1029.15
1250.0,0.91,21.62,1029.24
2500.0,0.88,21.63,1029.16
3750.0,0.86,21.64,1029.21
5000.0,0.86,21.64,1029.19
6250.0,0.83,21.64,1029.3
7500.0,0.82,21.63,1029.24
8750.0,0.78,21.63,1029.19
10000.0,0.77,21.63,1029.15
11250.0,0.74,21.63,1029.28
12500.0,0.71,21.62,1029.18
13750.0,0.71,21.62,1029.17
15250.0,0.7,21.62,1029.23
16500.0,0.68,21.62,1029.25
17750.0,0.69,21.61,1029.18
19250.0,0.68,21.61,1029.23
20750.0,0.68,21.61,1029.26
22000.0,0.65,21.6,1029.2
23500.0,0.64,21.6,1029.22
24750.0,0.61,21.6,1029.24
26000.0,0.63,21.6,1029.24
27500.0,0.64,21.6,1029.25
28750.0,0.62,21.6,1029.2
30000.0,0.61,21.6,1029.23
31500.0,0.62,21.6,1029.25
32750.0,0.61,21.59,1029.47
34000.0,0.6,21.59,1028.43
35500.0,0.59,21.61,1024.3
