time,do,temperature,pressure
0.0,0.89,21.23,1029.42
1250.0,0.9,21.37,1029.31
2500.0,0.89,21.41,1029.31
3750.0,0.88,21.42,1029.38
5000.0,0.84,21.42,1029.41
6250.0,0.81,21.42,1029.34
7500.0,0.8,21.42,1029.4
8750.0,0.79,21.41,1029.34
10000.0,0.79,21.41,1029.35
11250.0,0.74,21.4,1029.39
12500.0,0.73,21.4,1029.34
14000.0,0.72,21.39,1029.34
15250.0,0.69,21.39,1029.35
16500.0,0.68,21.39,1029.37
17750.0,0.69,21.38,1029.34
19000.0,0.66,21.38,1029.33
20250.0,0.67,21.39,1027.29
21500.0,0.72,21.49,1026.95
22750.0,0.69,21.56,1026.46
