time,do,temperature,pressure
0.0,0.9,26.71,1027.17
1250.0,0.91,25.38,1028.12
2500.0,0.88,24.95,1028.08
3750.0,0.85,24.8,1028.06
5000.0,0.83,24.74,1028.15
6250.0,0.81,24.72,1028.12
7500.0,0.78,24.73,1028.16
8750.0,0.76,24.73,1028.09
10000.0,0.73,24.74,1028.07
11250.0,0.7,24.74,1028.03
12500.0,0.66,24.74,1028.15
13750.0,0.64,24.75,1028.15
15000.0,0.63,24.77,1028.12
16250.0,0.61,24.77,1028.08
17500.0,0.61,24.77,1028.19
18750.0,0.6,24.77,1028.22
20000.0,0.59,24.77,1028.05
21250.0,0.61,24.76,1028.08
22500.0,0.59,24.75,1028.1
23750.0,0.62,24.75,1028.1
25000.0,0.61,24.73,1028.2
