time,do,temperature,pressure
0.0,0.96,21.4,1029.19
1250.0,0.94,21.54,1029.9
2500.0,0.92,21.59,1029.74
3750.0,0.9,21.6,1029.72
5000.0,0.88,21.61,1029.76
6250.0,0.85,21.6,1029.75
7500.0,0.84,21.61,1029.84
8750.0,0.78,21.6,1029.74
10000.0,0.79,21.6,1029.76
11250.0,0.78,21.59,1029.75
12500.0,0.76,21.59,1029.7
13750.0,0.72,21.58,1029.73
15000.0,0.73,21.58,1029.75
16250.0,0.7,21.58,1029.78
17500.0,0.7,21.57,1029.76
18750.0,0.68,21.57,1029.79
20000.0,0.67,21.56,1029.8
21250.0,0.66,21.56,1029.71
22500.0,0.65,21.56,1029.75
23750.0,0.65,21.55,1029.79
25000.0,0.63,21.55,1029.79
26250.0,0.64,21.55,1029.71
27500.0,0.62,21.56,1020.41
