time,do,temperature,pressure
0.0,0.93,21.77,1029.12
1250.0,0.9,21.79,1029.09
2500.0,0.89,21.8,1029.1
3750.0,0.87,21.8,1029.1
5000.0,0.85,21.8,1029.11
6250.0,0.8,21.8,1029.04
7500.0,0.78,21.8,1029.09
8750.0,0.8,21.79,1029.06
10000.0,0.77,21.79,1029.1
11250.0,0.73,21.79,1029.08
12500.0,0.73,21.79,1029.09
13750.0,0.72,21.79,1029.2
15000.0,0.73,21.78,1029.06
16250.0,0.69,21.78,1029.14
17500.0,0.7,21.78,1029.16
18750.0,0.68,21.78,1029.05
20000.0,0.67,21.78,1029.08
21250.0,0.65,21.77,1029.07
22500.0,0.66,21.78,1023.15
