time,do,temperature,pressure
0.0,0.83,20.85,1027.85
1250.0,0.86,20.97,1028.67
2500.0,0.86,21.01,1026.15
4250.0,0.88,21.1,1026.56
5500.0,0.84,21.14,1027.68
7000.0,0.84,21.17,1026.94
8250.0,0.79,21.18,1027.3
9500.0,0.79,21.19,1026.37
10750.0,0.77,21.2,1026.93
12000.0,0.76,21.21,1026.58
13250.0,0.76,21.22,1026.58
15000.0,0.77,21.22,1027.38
16250.0,0.76,21.22,1026.79
17500.0,0.74,21.22,1027.65
19000.0,0.74,21.22,1027.05
20500.0,0.73,21.22,1026.85
21750.0,0.73,21.23,1026.74
23500.0,0.71,21.22,1021.95
