time,do,temperature,pressure
0.0,0.88,21.69,1027.24
1250.0,0.89,21.78,1029.39
3000.0,0.89,21.82,1029.36
4250.0,0.87,21.83,1029.34
6250.0,0.84,21.83,1029.45
7500.0,0.81,21.83,1029.47
8750.0,0.79,21.83,1029.43
10000.0,0.78,21.83,1029.46
11250.0,0.75,21.83,1029.5
12500.0,0.76,21.82,1029.52
13750.0,0.74,21.82,1029.45
15500.0,0.73,21.82,1029.48
16750.0,0.69,21.82,1029.5
18250.0,0.71,21.81,1029.51
19500.0,0.67,21.81,1029.48
20750.0,0.67,21.81,1029.42
22250.0,0.66,21.81,1029.43
23500.0,0.65,21.81,1029.43
24750.0,0.64,21.81,1029.47
26000.0,0.65,21.81,1029.49
27250.0,0.65,21.8,1029.46
28500.0,0.61,21.8,1029.47
30000.0,0.63,21.8,1029.48
31250.0,0.59,21.8,1029.41
32500.0,0.6,21.8,1029.44
34000.0,0.62,21.8,1029.53
35500.0,0.61,21.83,1020.73
