time,do,temperature,pressure
0.0,0.92,21.23,1029.2
1250.0,0.9,21.41,1029.27
3250.0,0.88,21.48,1029.27
5000.0,0.87,21.49,1029.26
6250.0,0.82,21.49,1029.28
7500.0,0.83,21.48,1029.28
8750.0,0.78,21.49,1029.27
10000.0,0.76,21.48,1029.24
11250.0,0.77,21.48,1029.18
12500.0,0.72,21.47,1029.15
13750.0,0.73,21.47,1029.2
15000.0,0.71,21.46,1029.24
16250.0,0.69,21.46,1029.31
17500.0,0.68,21.45,1029.22
19000.0,0.69,21.45,1029.23
20250.0,0.68,21.45,1029.26
21500.0,0.62,21.45,1029.23
23000.0,0.67,21.44,1029.23
24500.0,0.66,21.44,1029.29
25750.0,0.62,21.44,1029.27
27250.0,0.63,21.44,1029.28
28500.0,0.61,21.44,1029.27
29750.0,0.62,21.44,1029.28
31250.0,0.63,21.44,1029.26
32500.0,0.63,21.44,1029.2
33750.0,0.61,21.44,1029.25
35250.0,0.61,21.44,1029.22
36500.0,0.61,21.44,1029.25
37750.0,0.59,21.44,1029.26
39250.0,0.6,21.44,1024.96
