time,do,temperature,pressure
0.0,0.84,21.32,1025.03
1250.0,0.86,21.5,1029.3
2500.0,0.87,21.59,1029.19
3750.0,0.83,21.62,1029.22
5000.0,0.82,21.63,1029.23
7000.0,0.81,21.62,1029.2
8250.0,0.79,21.63,1029.29
9500.0,0.79,21.62,1029.25
10750.0,0.75,21.62,1029.24
12000.0,0.75,21.62,1029.25
13250.0,0.71,21.61,1029.26
14750.0,0.72,21.6,1029.22
16250.0,0.7,21.6,1029.21
17500.0,0.68,21.59,1029.2
18750.0,0.66,21.58,1029.27
20250.0,0.66,21.59,1029.29
21500.0,0.66,21.58,1029.25
22750.0,0.65,21.58,1029.25
24000.0,0.64,21.57,1029.28
25250.0,0.64,21.57,1029.24
26500.0,0.62,21.57,1029.28
28250.0,0.63,21.57,1029.25
29500.0,0.61,21.56,1029.21
30750.0,0.61,21.56,1029.23
32000.0,0.58,21.56,1029.23
33250.0,0.6,21.56,1029.24
34500.0,0.59,21.56,1029.18
35750.0,0.58,21.56,1029.3
37000.0,0.58,21.56,1029.27
38250.0,0.57,21.56,1029.27
39500.0,0.57,21.55,1029.2
41000.0,0.57,21.62,1020.22
