time,do,temperature,pressure
0.0,0.92,23.57,1029.8
1250.0,0.89,23.3,1029.7
2500.0,0.89,23.21,1029.69
3750.0,0.88,23.18,1029.72
5000.0,0.82,23.17,1029.69
6250.0,0.84,23.18,1029.79
7500.0,0.82,23.2,1029.73
8750.0,0.78,23.21,1029.76
10000.0,0.76,23.23,1029.72
11250.0,0.75,23.24,1029.67
12500.0,0.73,23.26,1029.76
13750.0,0.74,23.28,1029.76
15000.0,0.7,23.29,1029.74
16250.0,0.69,23.3,1029.74
17500.0,0.7,23.32,1029.7
18750.0,0.66,23.32,1029.74
20000.0,0.68,23.33,1029.69
21250.0,0.65,23.34,1029.76
22500.0,0.67,23.35,1029.73
23750.0,0.63,23.35,1029.75
25000.0,0.63,23.35,1020.65
