time,do,temperature,pressure
0.0,0.93,21.45,1028.85
1250.0,0.91,21.56,1029.2
2500.0,0.92,21.6,1029.07
3750.0,0.9,21.62,1029.09
5000.0,0.87,21.62,1029.11
6250.0,0.86,21.62,1029.1
7500.0,0.84,21.62,1029.1
8750.0,0.78,21.62,1029.12
10000.0,0.79,21.61,1029.1
11250.0,0.77,21.62,1029.11
12500.0,0.74,21.61,1029.05
13750.0,0.75,21.61,1029.18
15000.0,0.73,21.6,1029.08
16250.0,0.71,21.6,1029.15
17500.0,0.71,21.59,1029.1
19000.0,0.7,21.59,1029.17
20250.0,0.68,21.59,1029.15
21500.0,0.68,21.59,1029.14
23000.0,0.65,21.59,1029.16
24250.0,0.66,21.59,1020.53
