time,do,temperature,pressure
0.0,0.86,20.59,1025.79
2000.0,0.87,20.87,1028.72
3250.0,0.85,20.92,1028.69
4500.0,0.83,20.93,1028.65
5750.0,0.82,20.94,1028.6
7000.0,0.8,20.93,1028.65
8250.0,0.75,20.94,1028.59
9500.0,0.74,20.93,1028.64
10750.0,0.73,20.93,1028.58
12000.0,0.74,20.92,1028.69
13250.0,0.68,20.92,1028.67
14500.0,0.69,20.92,1028.7
15750.0,0.68,20.91,1028.57
17000.0,0.67,20.91,1028.64
18250.0,0.65,20.9,1028.61
19500.0,0.65,20.9,1028.56
20750.0,0.62,20.9,1028.66
22000.0,0.62,20.9,1028.65
23250.0,0.64,20.91,1023.71
24500.0,0.64,21.03,1027.71
