time,Pond ID,HBOI DO,YSI DO,Temperature,Pressure,do csv,upload status,message_time
09:39:06,unk25,0.57,,70.96,1029.53,/home/haucs/Desktop/HAUCS/truck_app/data/2025-07-11-09-38-44.csv,True,20250711_13:38:43
10:35:55,unk25,0.59,,70.32,1029.85,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-10-35-43.csv,True,20250711_14:35:42
10:37:03,unk25,0.59,,70.68,1029.84,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-10-36-51.csv,True,20250711_14:36:50
12:05:00,unk25,0.56,,73.9,1029.3,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-12-04-48.csv,True,20250711_16:04:47
14:13:31,unk25,0.59,,71.2,1028.78,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-14-13-18.csv,True,20250711_18:13:17
14:33:58,unk25,0.57,,70.83,1029.33,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-14-33-46.csv,True,20250711_18:33:44
14:39:21,unk25,0.82,,70.82,1029.44,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-14-39-09.csv,True,20250711_18:39:08
14:47:37,unk25,0.49,0.0,70.37,1028.68,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-14-47-25.csv,True,20250711_18:47:24
14:51:44,unk25,0.61,0.0,70.53,1028.97,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-14-51-10.csv,True,20250711_18:51:08
15:10:07,unk25,0.75,0.0,70.36,1027.97,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-09-51.csv,True,20250711_19:09:50
15:33:54,unk25,0.71,0.0,70.4,1028.4,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-16-14.csv,True,20250711_19:16:13
15:43:44,unk25,0.52,0.0,69.87,1027.13,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-43-32.csv,True,20250711_19:43:31
15:46:58,unk25,0.74,0.0,70.23,1026.91,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-46-45.csv,True,20250711_19:46:44
15:49:14,unk25,0.57,0.0,70.32,1028.03,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-49-01.csv,True,20250711_19:49:00
15:50:49,unk25,0.78,0.0,70.68,1028.14,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-50-37.csv,True,20250711_19:50:36
15:55:15,unk25,0.57,0.0,70.63,1027.61,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-15-55-02.csv,True,20250711_19:55:01
16:27:10,unk25,0.46,0.0,69.85,1026.8,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-16-26-58.csv,True,20250711_20:26:57
16:48:32,unk25,0.58,0.0,69.94,1027.88,/home/haucs/Desktop/HAUCS_GUI/DO_data/2025-07-11-16-48-19.csv,True,20250711_20:48:18
