time,do,temperature,pressure
0.0,0.88,20.73,1028.4
1500.0,0.9,21.05,1028.15
2750.0,0.87,21.12,1028.08
4000.0,0.88,21.15,1028.13
5250.0,0.86,21.17,1028.22
6750.0,0.82,21.17,1028.05
8000.0,0.81,21.17,1028.06
9250.0,0.74,21.16,1028.15
10500.0,0.76,21.15,1028.11
11750.0,0.74,21.14,1028.11
13000.0,0.71,21.14,1028.13
14250.0,0.71,21.13,1025.44
15500.0,0.75,21.25,1026.56
16750.0,0.76,21.36,1026.29
18000.0,0.79,21.41,1026.21
19250.0,0.76,21.44,1026.56
20500.0,0.73,21.45,1026.26
21750.0,0.75,21.46,1026.39
23000.0,0.76,21.47,1026.84
24250.0,0.75,21.49,1025.48
25500.0,0.75,21.5,1019.58
