time,do,temperature,pressure
0.0,0.9,21.31,1022.75
1250.0,0.91,21.41,1028.16
2500.0,0.89,21.47,1028.18
3750.0,0.88,21.48,1028.17
5000.0,0.87,21.48,1028.09
6250.0,0.86,21.49,1028.21
7500.0,0.81,21.48,1028.18
8750.0,0.82,21.49,1028.18
10000.0,0.78,21.48,1028.16
11250.0,0.76,21.48,1028.18
12500.0,0.73,21.48,1028.19
13750.0,0.74,21.47,1028.18
15000.0,0.7,21.47,1028.16
16250.0,0.68,21.48,1028.16
17500.0,0.7,21.47,1028.17
18750.0,0.69,21.47,1028.23
20000.0,0.69,21.47,1028.23
21250.0,0.67,21.47,1028.23
22500.0,0.65,21.47,1028.15
23750.0,0.62,21.46,1028.15
25000.0,0.65,21.47,1028.19
26250.0,0.63,21.46,1028.1
27500.0,0.62,21.46,1028.22
28750.0,0.61,21.46,1028.18
30000.0,0.61,21.46,1028.17
31250.0,0.59,21.46,1028.2
32500.0,0.62,21.46,1028.26
33750.0,0.58,21.46,1028.2
35000.0,0.57,21.46,1028.17
36250.0,0.58,21.46,1028.04
37500.0,0.59,21.48,1023.85
38750.0,0.59,21.53,1019.84
