time,do,temperature,pressure
0.0,0.88,20.46,1028.99
1250.0,0.86,20.67,1029.11
2500.0,0.86,20.74,1028.98
3750.0,0.85,20.77,1029.11
5000.0,0.8,20.79,1029.05
6250.0,0.8,20.8,1029.09
7500.0,0.77,20.8,1029.08
8750.0,0.73,20.79,1029.08
10000.0,0.74,20.78,1029.02
11250.0,0.68,20.77,1029.01
12500.0,0.68,20.76,1029.01
13750.0,0.7,20.75,1029.11
15500.0,0.67,20.74,1025.93
16750.0,0.64,20.83,1023.19
18000.0,0.67,20.95,1028.97
19250.0,0.68,20.99,1029.15
20500.0,0.66,21.0,1029.18
21750.0,0.68,20.99,1029.12
23000.0,0.68,20.98,1029.12
24250.0,0.66,20.98,1029.15
25500.0,0.66,20.97,1029.16
26750.0,0.66,20.96,1029.13
28000.0,0.65,20.96,1029.18
29250.0,0.65,20.95,1029.14
30750.0,0.63,20.93,1029.09
32000.0,0.65,20.93,1029.14
33750.0,0.62,20.92,1029.19
35000.0,0.61,20.92,1029.19
36250.0,0.6,20.91,1029.13
37500.0,0.6,20.91,1029.07
39000.0,0.59,20.9,1029.14
40250.0,0.6,20.89,1029.13
41500.0,0.58,20.89,1029.17
42750.0,0.57,20.89,1029.15
44000.0,0.57,20.88,1029.19
45250.0,0.55,20.88,1029.1
46750.0,0.54,20.87,1029.11
48000.0,0.55,20.88,1029.14
49250.0,0.55,20.87,1029.23
51000.0,0.57,20.86,1029.19
52250.0,0.53,20.87,1028.76
