time,do,temperature,pressure
0.0,0.88,20.48,1023.68
1250.0,0.89,20.87,1028.18
2500.0,0.88,21.04,1028.11
3750.0,0.87,21.09,1028.06
5000.0,0.86,21.11,1028.11
6500.0,0.83,21.11,1028.08
7750.0,0.81,21.11,1028.12
9000.0,0.78,21.1,1028.1
10250.0,0.77,21.1,1028.09
11500.0,0.74,21.08,1028.1
12750.0,0.73,21.08,1028.07
14250.0,0.73,21.07,1028.12
15500.0,0.71,21.07,1028.0
16750.0,0.7,21.07,1028.08
18250.0,0.69,21.06,1028.06
19500.0,0.66,21.06,1028.01
20750.0,0.65,21.06,1028.03
22750.0,0.65,21.06,1022.97
24000.0,0.65,21.17,1019.52
