time,do,temperature,pressure
0.0,0.95,21.61,1028.46
1250.0,0.93,21.68,1029.28
2500.0,0.9,21.7,1029.23
4000.0,0.89,21.71,1029.25
5250.0,0.87,21.7,1029.24
7250.0,0.85,21.7,1029.18
8500.0,0.81,21.69,1029.32
9750.0,0.78,21.7,1029.23
11250.0,0.77,21.69,1029.15
13000.0,0.75,21.69,1029.21
14250.0,0.74,21.68,1029.17
15500.0,0.72,21.68,1029.27
16750.0,0.7,21.68,1029.19
18000.0,0.69,21.68,1029.17
19250.0,0.66,21.67,1029.29
20500.0,0.68,21.67,1029.21
21750.0,0.66,21.66,1029.21
23000.0,0.65,21.66,1029.21
24250.0,0.65,21.66,1029.26
25500.0,0.65,21.65,1029.21
26750.0,0.65,21.65,1020.48
