time,do,temperature,pressure
0.0,0.84,20.35,1022.42
1250.0,0.86,20.67,1027.96
3750.0,0.85,20.86,1028.26
5000.0,0.84,20.87,1028.23
6250.0,0.81,20.87,1028.25
7500.0,0.8,20.87,1028.26
8750.0,0.75,20.87,1028.24
10000.0,0.74,20.87,1028.24
11250.0,0.74,20.85,1028.29
12500.0,0.7,20.85,1028.26
13750.0,0.68,20.85,1028.36
15500.0,0.68,20.84,1028.27
16750.0,0.67,20.84,1028.3
18000.0,0.66,20.83,1028.32
19250.0,0.65,20.82,1028.36
20500.0,0.65,20.82,1028.25
21750.0,0.61,20.82,1028.28
23000.0,0.64,20.82,1028.26
24250.0,0.62,20.82,1028.25
25500.0,0.62,20.82,1028.24
26750.0,0.6,20.82,1028.29
28000.0,0.63,20.82,1028.27
29250.0,0.59,20.81,1028.25
30500.0,0.6,20.81,1028.27
31750.0,0.59,20.81,1028.23
33000.0,0.57,20.81,1028.27
34250.0,0.57,20.81,1028.33
35500.0,0.57,20.82,1028.29
36750.0,0.57,20.81,1028.27
38000.0,0.57,20.81,1023.15
