time,do,temperature,pressure
0.0,0.9,21.06,1026.64
1500.0,0.89,21.29,1028.83
2750.0,0.89,21.34,1028.69
4750.0,0.86,21.38,1028.79
6250.0,0.83,21.38,1028.77
7500.0,0.8,21.38,1028.8
9000.0,0.78,21.37,1028.77
10250.0,0.76,21.37,1028.78
11500.0,0.74,21.36,1028.74
13000.0,0.74,21.36,1028.82
14250.0,0.71,21.35,1028.78
15500.0,0.7,21.35,1028.75
17000.0,0.69,21.35,1028.82
18250.0,0.69,21.35,1028.77
19500.0,0.68,21.34,1028.82
21000.0,0.65,21.34,1028.73
22250.0,0.64,21.34,1028.74
23500.0,0.64,21.34,1028.79
25000.0,0.62,21.33,1028.78
26250.0,0.63,21.33,1028.79
27500.0,0.61,21.32,1028.82
28750.0,0.61,21.32,1028.75
30250.0,0.6,21.32,1028.79
31500.0,0.59,21.32,1028.84
32750.0,0.59,21.32,1028.78
34250.0,0.58,21.32,1028.79
35500.0,0.57,21.32,1028.78
36750.0,0.57,21.32,1028.78
38000.0,0.57,21.4,1019.87
